club,club_speed,club_plan,hand_plan,tempo,angle,date
7,75,-3,3,2.7,286,08/06/2017
7,71,-1,6,3.1,281,08/06/2017
7,75,6,8,3.2,284,08/06/2017
7,58,5,6,3.2,280,08/06/2017
1,61,50,12,1.8,182,09/06/2017
1,98,7,3,3.4,275,09/06/2017
1,99,2,7,3.4,280,09/06/2017
1,97,10,5,3.4,275,09/06/2017
1,97,12,6,3.5,276,09/06/2017
7,83,2,3,3.1,280,09/06/2017
7,72,-18,-4,3.2,271,09/06/2017
7,71,-14,-3,3.0,271,09/06/2017
7,75,-28,-13,3.2,278,09/06/2017
7,75,-25,-7,2.8,271,09/06/2017
7,65,-16,-2,2.6,269,09/06/2017
7,86,3,1,3.2,275,09/06/2017
7,87,1,5,3.2,276,09/06/2017
7,91,8,17,2.5,294,09/06/2017
0,55,7,3,3.1,191,10/06/2017
0,97,10,5,3.8,291,10/06/2017
0,92,50,45,4.3,234,10/06/2017
0,100,30,33,4.4,303,10/06/2017
0,89,-41,-17,2.4,272,10/06/2017
0,100,5,10,2.7,290,10/06/2017
0,84,-32,-3,2.4,280,10/06/2017
0,71,-7,1,2.8,238,10/06/2017
0,58,-16,1,2.2,208,10/06/2017
0,99,1,3,2.7,295,10/06/2017
0,88,-48,-21,3.2,280,10/06/2017
0,51,-12,0,4.0,162,10/06/2017
0,54,-8,1,1.7,186,10/06/2017
0,97,-7,2,2.8,299,10/06/2017
0,101,-2,7,2.6,289,10/06/2017
0,89,-42,-9,2.3,282,10/06/2017
0,102,19,19,4.0,297,10/06/2017
0,84,9,17,2.3,301,10/06/2017
0,87,-50,-35,2.4,266,10/06/2017
0,98,16,8,2.6,295,10/06/2017
0,80,-26,5,2.5,281,10/06/2017
0,100,1,11,2.8,291,10/06/2017
0,84,-46,-10,2.9,275,10/06/2017
0,71,3,1,2.3,224,10/06/2017
0,102,9,5,2.8,303,10/06/2017
0,64,-23,-4,2.1,238,10/06/2017
0,83,2,-4,3.3,263,10/06/2017
0,65,-13,-4,2.1,252,10/06/2017
0,65,18,15,3.7,231,10/06/2017
0,98,4,6,3.0,298,10/06/2017
0,99,-12,-1,3.1,290,10/06/2017
0,63,-6,1,2.8,267,10/06/2017
0,100,-4,-3,3.3,277,10/06/2017
0,95,1,2,2.7,284,10/06/2017
0,97,4,7,2.7,285,10/06/2017
0,88,5,4,3.4,272,10/06/2017
pw,79,2,-3,3.8,270,11/06/2017
pw,81,21,21,3.7,277,11/06/2017
pw,79,-8,-6,3.5,266,11/06/2017
pw,78,9,13,3.8,264,11/06/2017
pw,80,22,18,3.8,269,11/06/2017
1,95,2,5,2.8,281,11/06/2017
1,102,8,6,2.5,286,11/06/2017
1,102,7,11,3.2,285,11/06/2017
1,96,-1,9,3.1,280,11/06/2017
1,100,8,6,3.0,285,11/06/2017
3,80,-24,-12,2.9,270,11/06/2017
3,78,-9,7,2.5,274,11/06/2017
3,96,12,10,3.0,277,11/06/2017
3,91,24,11,2.8,279,11/06/2017
3,96,2,12,2.7,286,11/06/2017
3,89,15,4,3.7,268,11/06/2017
3,91,20,7,3.6,284,11/06/2017
3,90,22,18,3.9,287,11/06/2017
3,91,20,9,3.9,277,11/06/2017
3,91,17,9,3.8,282,11/06/2017
3,90,8,4,3.0,286,11/06/2017
3,87,10,5,2.8,279,11/06/2017
7,86,10,4,3.0,281,11/06/2017
7,87,11,7,2.7,284,11/06/2017
7,85,14,12,2.9,285,11/06/2017
7,86,18,18,2.8,285,11/06/2017
7,84,-5,2,2.6,275,11/06/2017
7,81,-8,-7,3.1,264,11/06/2017
6,72,12,9,2.9,257,23/06/2017
6,68,0,-6,3.2,249,23/06/2017
6,84,6,3,3.8,267,23/06/2017
6,79,11,4,2.5,263,23/06/2017
6,78,-2,-1,3.1,247,23/06/2017
1,95,14,9,3.0,272,23/06/2017
9,80,7,3,3.1,246,23/06/2017
9,77,-4,-3,3.7,257,23/06/2017
9,83,-2,4,3.2,259,23/06/2017
9,85,14,7,3.1,256,23/06/2017
9,80,4,5,3.3,259,23/06/2017
9,82,23,10,3.5,258,23/06/2017
9,86,10,10,3.3,261,23/06/2017
9,88,20,13,3.6,262,23/06/2017
9,86,23,14,3.0,262,23/06/2017
9,89,22,15,3.4,268,23/06/2017
9,85,17,14,3.0,263,23/06/2017
9,86,19,14,3.1,264,23/06/2017
9,86,18,9,2.9,263,23/06/2017
9,87,18,9,2.8,266,23/06/2017
9,88,18,10,2.8,271,23/06/2017
9,86,6,4,3.1,277,23/06/2017
9,84,3,5,30,270,23/06/2017
9,87,2,2,3.1,275,23/06/2017
9,88,2,2,3.3,279,23/06/2017
9,85,4,-1,2.9,278,23/06/2017
9,86,4,4,3.4,275,23/06/2017